Identifier,Woreda,Kebele,Parish,School Name,Latitude,Longitude,School Type,Total number of Boys enrolled in the school,Total number of Girls enrolled in the school,What is the total enrolment in the school?,What is the regular number of staff in the school?,Drinking Water,Is there an improved water source that serves the school?,What is the type of improved water source?,What year was the water facility constructed?,Who funded the construction of the water point?,Sanitation,Does the school have any sanitation facilities?,What type of sanitation facilities are present?,"In total, how many functioning stances are for females?","IN total, how many functioning stances are for Males?",Is there a sanitation facility accessible to students with disabilities?,In what year was the latest (MOST RECENT) sanitation facility constructed?,"Condition of the superstructure, roof, walls, and doors",Condition are the floor/slabs/platform,Latrines/cesspits last emptied?,Who paid for the emptying service?,Hygiene,Is there a place for handwashing?,Is there water available at the handwashing station?,Is there soap at hand washing station?,Are there any abandoned or not in use sanitation facilities on the plot that pose a risk or threat to the safety of children?,Do community members not attending the school ever come to use the sanitation facilities?
s5cy-yfp7-b2js,,,,Abone primary school,,,,300,200,500,15,Basic,Yes-school has its own improved water sources,Deep Borehole,2010,Government,Basic,Yes,VIP latrine,2,2,Yes,2016,Good and well-raised wall with roof and door,Medium - some minor cracks,Never emptied,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Rarely
av7y-npt6-59t8,,,,odokomit primary school,,,,509,470,979,110,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,5,5,Yes,2003,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,Unknown,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
861p-tnm5-n46u,,,,Ajalia Senior Secondary School,,,,162,54,216,12,Basic,Yes-school has its own improved water sources,Deep Borehole,2008,NGO,Limited,Yes,Traditional pit latrine,4,6,No,2017,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,No Service,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
991x-xj14-bfnt,,,,Akwang Primary school,,,,550,553,1103,10,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,6,6,Yes,2021,Good and well-raised wall with roof and door,Good - No cracks or gaps,More than 3 years ago,School,Basic,Yes,Yes,Yes,YES - open pits with feces and contents exposed,Rarely
dj82-py3s-e9nh,,,,lira palwo primary school,,,,675,564,1239,13,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Limited,Yes,VIP latrine,3,2,No,2017,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,YES - open pits with feces and contents exposed,Rarely
3gx2-kdxn-kxjd,,,,Akwang Secondary school,,,,380,200,580,22,Basic,Yes-school has its own improved water sources,Tapstand,2020,NGO,Basic,Yes,VIP latrine,3,8,Yes,2019,"Medium - walls are decent, semi permanent door and roof",Bad - dangerous to stand on,Less that 1 year ago,School,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Never
km11-r5sf-23ck,,,,ongalo primary school,,,,382,361,743,8,No service,No-school does not have access to an improved water source,,,,Limited,Yes,Pour Flush toilet,7,7,No,2007,Good and well-raised wall with roof and door,Medium - some minor cracks,1 to 3 years ago,School,Limited,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Sometimes
6e8u-q72s-7gfk,,,,Paimol primary school,,,,538,502,1040,10,Basic,Yes-school has its own improved water sources,Tapstand,2020,School,Limited,Yes,VIP latrine,5,2,No,2019,Good and well-raised wall with roof and door,Medium - some minor cracks,Never emptied,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Sometimes
0q51-75hb-svkx,,,,olung P/S,,,,484,453,937,10,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,Traditional pit latrine,14,9,Yes,2014,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,No Service,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Often
p0dg-213x-9pfp,,,,lira palwo secondary school,,,,443,183,626,28,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,2,2,Yes,2012,Good and well-raised wall with roof and door,Good - No cracks or gaps,1 to 3 years ago,School,Basic,Yes,Yes,Yes,YES - construction materials pose a risk,Never
u0j2-vnp3-1wju,,,,kuywee primary school,,,,439,395,834,11,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,3,2,No,2005,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,No Service,Yes,Yes,Yes,YES - construction materials pose a risk,Sometimes
77vf-qv52-uwv1,,,,Kotomor,,,,284,272,556,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,5,5,No,2010,"Poor - short wall, poor or no door",Bad - dangerous to stand on,,,No Service,Yes,Yes,Yes,YES - open pits with feces and contents exposed,Never
pstv-camd-5gb3,,,,Aywee primary school,,,,395,284,679,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,Pour Flush toilet,1,2,Yes,2019,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,YES - construction materials pose a risk,Often
jxeq-21pc-2hr5,,,,Olyelo Widyel Primary School,,,,412,417,829,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,5,5,No,2008,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,No Service,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Often
gke9-fe6n-skby,,,,Onudo Apet,,,,305,279,584,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,5,5,Yes,2009,"Poor - short wall, poor or no door",Medium - some minor cracks,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
frkh-13sw-udk1,,,,Toroma p/s,,,,570,649,1219,13,Basic,Yes-school has its own improved water sources,Deep Borehole,2004,NGO,Basic,Yes,VIP latrine,4,4,Yes,2018,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Rarely
f5kd-jagj-693d,,,,ogwangkamolo primary school,,,,337,365,702,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Limited,Yes,VIP latrine,4,4,No,2008,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Limited,Yes,No,Yes,NONE- no observable risk from out-of-service facilities,Often
vdeg-6y7d-fk25,,,,Awelo Primary school,,,,304,202,506,11,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,8,4,Yes,2017,Good and well-raised wall with roof and door,Good - No cracks or gaps,More than 3 years ago,School,No Service,Yes,No,No,NONE- no observable risk from out-of-service facilities,Never
jyvm-09pm-fvkc,,,,Gotatongo primary school,,,,368,298,666,8,No service,No-school does not have access to an improved water source,,,,Limited,Yes,VIP latrine,5,5,Yes,2014,Good and well-raised wall with roof and door,Good - No cracks or gaps,1 to 3 years ago,School,No Service,No,No,No,YES- collapsed or partially collapsed latrines,Sometimes
j8uq-f357-vc69,,,,Alyek primary school,,,,372,330,702,8,No service,No-school does not have access to an improved water source,,,,Basic,Yes,VIP latrine,2,4,No,2018,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,Never emptied,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Never
sd1f-4j35-ru0r,,,,Acuru primary school,,,,422,450,872,10,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,4,5,No,2016,"Poor - short wall, poor or no door",Medium - some minor cracks,Never emptied,,No Service,No,No,No,YES- collapsed or partially collapsed latrines,Sometimes
kn2v-kae3-59c2,,,,Luzira P/S,,,,500,451,951,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,10,7,Yes,2019,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,,Sometimes
4psj-8rr5-jjx5,,,,Odokomit,,,,509,470,971,10,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,5,5,Yes,2003,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,Unknown,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
ee3m-g8kd-vpvv,,,,Abone primary school,,,,415,379,794,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,1,1,No,2020,Good and well-raised wall with roof and door,Medium - some minor cracks,Never emptied,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Often
ar77-r0ev-xvwv,,,,kwonkic primary school,,,,565,495,1060,10,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,4,8,No,2018,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,Unknown,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Sometimes
9p8p-f9r3-wen5,,,,Wipolo Soloti P/S,,,,506,518,1024,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,5,5,Yes,2019,"Poor - short wall, poor or no door",Bad - dangerous to stand on,More than 3 years ago,2:School,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Often
f63u-cans-r0kb,,,,Ogong,,,,292,303,559,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,3,15,Yes,2009,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Often
m4ns-6umc-9yhu,,,,Lapirin primary school,,,,503,467,970,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Limited,Yes,VIP latrine,2,3,No,2017,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,Never emptied,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Often
bg6r-vgfq-5cgk,,,,Good hope nursery and primary school,,,,100,186,286,6,Limited,Yes-school shares with a community improved water source,Tapstand,,,Limited,Yes,VIP latrine,1,0,No,2019,"Poor - short wall, poor or no door",Bad - dangerous to stand on,Never emptied,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Never
e98u-gknt-tq63,,,,paicam ayee primary school,,,,115,122,237,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Limited,Yes,VIP latrine,1,1,No,2020,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
8wh2-jjpg-m634,,,,Amyel primary school,,,,640,461,1101,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Limited,Yes,Ecosan toilet (UDDT),4,3,Yes,2008,Good and well-raised wall with roof and door,Medium - some minor cracks,More than 3 years ago,2:School,Basic,Yes,Yes,Yes,YES - open pits with feces and contents exposed,Often
7875-gd39-jfjg,,,,Langolangola P/S,,,,372,425,797,6,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,5,3,Yes,2013,"Poor - short wall, poor or no door",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,YES - construction materials pose a risk,Rarely
n9ng-dshn-63vt,,,,Omatowee,,,,216,268,484,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,6,4,Yes,2018,Good and well-raised wall with roof and door,Medium - some minor cracks,Never emptied,,Basic,Yes,Yes,Yes,YES - construction materials pose a risk,Never
r570-mcst-411v,,,,Ajali Atede Primary School,,,,322,377,699,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Limited,Yes,VIP latrine,2,2,No,2013,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,Never emptied,,Limited,Yes,Yes,No,YES- collapsed or partially collapsed latrines,Often
0wbw-hn4w-bjjd,,,,Alwee primary school,,,,489,488,977,11,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,5,5,Yes,2016,Good and well-raised wall with roof and door,Good - No cracks or gaps,Unknown,,No Service,No,No,No,YES- collapsed or partially collapsed latrines,Rarely
hfhc-fumj-u1u2,,,,Abilnino primary school,,,,378,358,736,7,No service,No-school does not have access to an improved water source,,,,Limited,Yes,VIP latrine,5,3,Yes,2018,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,YES - construction materials pose a risk,Often
r570-mcst-411v,,,,Ajali Atede Primary School,,,,322,377,699,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Limited,Yes,VIP latrine,2,2,No,2013,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,Never emptied,,Limited,Yes,Yes,No,YES- collapsed or partially collapsed latrines,Often
ahwj-v2pr-mrm2,,,,St James nuserery and primary,,,,184,176,360,14,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,4,4,Yes,201,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
k314-pe95-32dn,,,,lamiyo primary school,,,,405,406,811,9,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,2:VIP latrine,5,5,1:Yes,2020,Good and well-raised wall with roof and door,Medium - some minor cracks,Less that 1 year ago,School,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Never
vdeg-6y7d-fk25,,,,Awelo Primary school,,,,496,524,1020,8,No Service,No-school does not have access to an improved water source,,,,Basic,Yes,3:Pour Flush toilet,7,7,1:Yes,2008,Good and well-raised wall with roof and door,Good - No cracks or gaps,1 to 3 years ago,School,Limited,Yes,Yes,No,YES - construction materials pose a risk,Often
t7ku-0ddy-5scw,,,,Lokapel P/S,,,,305,358,663,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,2:VIP latrine,6,6,1:Yes,2014,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Rarely
uymh-tc12-0qq3,,,,Opyelo,,,,507,523,1030,10,No service,No-school does not have access to an improved water source,,,,No Service,Yes,1:Traditional pit latrine,5,5,1:Yes,0,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,YES - open pits with feces and contents exposed,Never
rg2r-6u6e-uyme,,,,Ajali Lajwa P/S,,,,555,520,1075,13,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,1:Traditional pit latrine,4,4,2:No,2019,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Sometimes
41r9-459x-f095,,,,Kokil P/S,,,,350,371,701,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,2:VIP latrine,5,5,1:Yes,2014,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
vuy7-4a65-xm4d,,,,Ladere P/S,,,,342,308,650,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,1:Traditional pit latrine,2,2,1:Yes,2018,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Often
vetj-cuup-qwsn,,,,Ajwa primary school,,,,321,304,625,9,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,1:Traditional pit latrine,2,3,1:Yes,2007,"Poor - short wall, poor or no door",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Often
3tsa-pq1p-v211,,,,Kamonojwi P/S,,,,332,318,650,7,No service,No-school does not have access to an improved water source,,,,No Service,Yes,1:Traditional pit latrine,2,2,2:No,2013,"Poor - short wall, poor or no door",Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Rarely
r9mh-tx3g-0du1,,,,Barotiba,,,,366,323,689,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,1:Traditional pit latrine,5,5,2:No,0,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
ft8x-4sax-k4ev,,,,Okwadoko P/s,,,,291,322,613,9,Limited,Yes-school shares with a community improved water source,Tapstand,,,Basic,Yes,2:VIP latrine,5,5,2:No,2019,"Poor - short wall, poor or no door",Medium - some minor cracks,Never emptied,,No Service,No,Yes,No,YES- collapsed or partially collapsed latrines,Often
fqc3-pfnq-hh5m,,,,Locum P/S,,,,303,198,501,6,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,2:VIP latrine,5,5,2:No,2017,Good and well-raised wall with roof and door,Medium - some minor cracks,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Rarely
7hw7-m2r2-1w70,,,,Widwol P/S,,,,297,180,477,7,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,5,6,1:Yes,2015,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Rarely
04qm-43e4-djc2,,,,Lacek primary school,,,,313,316,629,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,5,5,1:Yes,2010,Good and well-raised wall with roof and door,Medium - some minor cracks,,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Sometimes
cnsc-4ae3-y534,,,,Kazikazi primary school,,,,279,231,510,6,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,4,4,1:Yes,2013,"Medium - walls are decent, semi permanent door and roof",Good - No cracks or gaps,Never empited,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Never
bq8g-c01v-es9r,,,,Wol P/s,,,,476,430,906,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,5,5,2:No,2007,"Poor - short wall, poor or no door",Good - No cracks or gaps,Never empited,,No Service,No,Yes,Yes,YES- collapsed or partially collapsed latrines,Sometimes
0jnd-mmcr-p62a,,,,Pakor Dungu P/S,,,,217,202,419,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,5,5,1:Yes,2015,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never empited,,Limited,Yes,Yes,No,NONE- no observable risk from out-of-service facilities,Rarely
2s82-v42d-r86e,,,,Ngora p/s,,,,389,431,820,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,Ecosan toilet (UDDT),5,5,1:Yes,2020,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never empited,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
v84b-3x94-83hs,,,,Wol secondary school.,,,,148,124,272,31,Basic,Yes-school has its own improved water sources,Deep Borehole,2013,NGO,Basic,Yes,VIP latrine,5,5,2:No,2014,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,Never empited,,No Service,No,No,No,NONE- no observable risk from out-of-service facilities,Sometimes
44dg-34bc-4snh,,,,odom primary school,,,,223,187,410,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,2,1,1:Yes,2014,Good and well-raised wall with roof and door,Medium - some minor cracks,Never empited,,Limited,Yes,Yes,No,YES- collapsed or partially collapsed latrines,Often
c7jr-cf97-5xd0,,,,Patongo Seed SS,,,,296,140,436,25,Basic,Yes-school has its own improved water sources,Deep Borehole,2017,Government,No Service,Yes,Traditional pit latrine,4,3,2:No,2015,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
vkwx-enfs-ek28,,,,Patongo SS,,,,285,112,397,16,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,5,10,2:No,2017,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Rarely
1b5s-e53t-6ycb,,,,pakor primary school,,,,351,319,670,9,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,5,5,1:Yes,2016,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Rarely
je5y-njbu-20ym,,,,Ajali Anyena P/S,,,,520,460,980,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,3,4,1:Yes,2016,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Rarely
a69p-cdgx-2de2,,,,lacek oto primary school,,,,419,379,798,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,7,8,2:No,2011,Good and well-raised wall with roof and door,Medium - some minor cracks,Unknown,,Basic,Yes,Yes,Yes,YES- collapsed or partially collapsed latrines,Often
eswc-65jj-vjdx,,,,karumu primary school,,,,225,197,422,9,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,Basic,Yes,VIP latrine,5,5,Yes,2018,Good and well-raised wall with roof and door,Medium - some minor cracks,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Sometimes
w1xb-7sqr-8bbt,,,,Namabili P .7,,,,450,240,690,7,Basic,Yes-school has its own improved water sources,Deep Borehole,2009,Government,Basic,Yes,VIP latrine,8,5,Yes,2017,Good and well-raised wall with roof and door,Good - No cracks or gaps,Never emptied,,Basic,Yes,Yes,Yes,NONE- no observable risk from out-of-service facilities,Never
ng9c-hed5-fh79,,,,Wol Kico P/s,,,,384,478,862,8,Limited,Yes-school shares with a community improved water source,Deep Borehole,,,No Service,Yes,Traditional pit latrine,4,2,No,2017,"Poor - short wall, poor or no door",Medium - some minor cracks,,,No Service,No,No,No,YES- collapsed or partially collapsed latrines,Often
